name,year,km_driven,fuel,seller_type,transmission,owner,age,brand,km_per_year
Maruti Swift ZXI Plus,2020,5000,Petrol,Individual,Manual,First Owner,5,Maruti,1000.0
Chevrolet Aveo U-VA 1.2 LS,2008,80000,Petrol,Individual,Manual,First Owner,17,Chevrolet,4705.882352941177
Chevrolet Captiva LT,2008,100000,Diesel,Individual,Manual,Fourth & Above Owner,17,Chevrolet,5882.35294117647
Mahindra Bolero Power Plus SLX,2017,70000,Diesel,Individual,Manual,First Owner,8,Mahindra,8750.0
Maruti Swift LXI,2019,8000,Petrol,Individual,Manual,First Owner,6,Maruti,1333.3333333333333
Mahindra Xylo D4,2017,99700,Diesel,Individual,Manual,First Owner,8,Mahindra,12462.5
Mercedes-Benz B Class B180 Sports,2013,40000,Petrol,Individual,Automatic,Second Owner,12,Mercedes-Benz,3333.3333333333335
Honda WR-V i-DTEC VX,2019,13000,Diesel,Dealer,Manual,First Owner,6,Honda,2166.6666666666665
Maruti Omni 8 Seater BSII,2015,70000,Petrol,Dealer,Manual,First Owner,10,Maruti,7000.0
Hyundai i20 Active SX Petrol,2016,23000,Petrol,Dealer,Manual,First Owner,9,Hyundai,2555.5555555555557
Maruti Wagon R LX,2003,100000,Petrol,Individual,Manual,Second Owner,22,Maruti,4545.454545454545
Ford Fiesta 1.6 ZXi Duratec,2007,60000,Petrol,Individual,Manual,Third Owner,18,Ford,3333.3333333333335
Chevrolet Spark 1.0 LT,2010,15000,Petrol,Individual,Manual,First Owner,15,Chevrolet,1000.0
Land Rover Range Rover 4.4 Diesel LWB Vogue SE,2010,100000,Diesel,Dealer,Automatic,First Owner,15,Land,6666.666666666667
Toyota Innova 2.5 G3,2010,120000,Diesel,Individual,Manual,Third Owner,15,Toyota,8000.0
Tata Hexa XT,2017,16400,Diesel,Individual,Manual,First Owner,8,Tata,2050.0
Hyundai Creta 1.6 E Plus,2018,12500,Petrol,Individual,Manual,First Owner,7,Hyundai,1785.7142857142858
Hyundai i20 1.4 Sportz,2017,60000,Diesel,Individual,Manual,First Owner,8,Hyundai,7500.0
Toyota Innova 2.0 VX 7 Seater,2010,120000,Petrol,Individual,Manual,Third Owner,15,Toyota,8000.0
Hyundai Grand i10 CRDi Magna,2013,73000,Diesel,Individual,Manual,First Owner,12,Hyundai,6083.333333333333
Maruti Alto LX,2011,25000,Petrol,Individual,Manual,First Owner,14,Maruti,1785.7142857142858
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,70000,Diesel,Individual,Automatic,First Owner,14,Mahindra,5000.0
Tata Tiago 1.05 Revotorq XE,2016,38000,Diesel,Dealer,Manual,First Owner,9,Tata,4222.222222222223
Fiat Palio D 1.9 EL PS,2003,35000,Diesel,Individual,Manual,Second Owner,22,Fiat,1590.909090909091
Skoda Superb 1.8 TFSI MT,2010,80000,Petrol,Individual,Manual,Second Owner,15,Skoda,5333.333333333333
Ford Figo Diesel EXI,2012,28000,Diesel,Individual,Manual,First Owner,13,Ford,2153.846153846154
Tata Nano Lx BSIV,2012,50000,Petrol,Individual,Manual,Second Owner,13,Tata,3846.153846153846
Maruti Alto K10 LX,2020,1100,Petrol,Individual,Manual,Fourth & Above Owner,5,Maruti,220.0
Volkswagen Vento Diesel Highline,2011,150000,Diesel,Individual,Manual,First Owner,14,Volkswagen,10714.285714285714
Hyundai EON Era Plus,2013,120000,Petrol,Individual,Manual,First Owner,12,Hyundai,10000.0
Tata Zest Quadrajet 1.3 75PS XE,2016,88470,Diesel,Individual,Manual,First Owner,9,Tata,9830.0
Maruti Zen Estilo LXI BS IV,2009,65000,Petrol,Individual,Manual,First Owner,16,Maruti,4062.5
Maruti Alto LXi BSIII,2008,102000,Petrol,Dealer,Manual,First Owner,17,Maruti,6000.0
Maruti Swift Dzire LXI,2015,70000,Petrol,Individual,Manual,First Owner,10,Maruti,7000.0
Volkswagen Jetta 1.4 TSI Comfortline,2013,50000,Petrol,Individual,Manual,First Owner,12,Volkswagen,4166.666666666667
Tata Xenon XT EX 4X2,2014,90000,Diesel,Individual,Manual,First Owner,11,Tata,8181.818181818182
Maruti 800 Std,1998,80000,Petrol,Individual,Manual,Fourth & Above Owner,27,Maruti,2962.962962962963
Maruti Alto 800 LXI,2016,45000,Petrol,Individual,Manual,Second Owner,9,Maruti,5000.0
Chevrolet Beat LT,2010,70000,Petrol,Individual,Manual,Second Owner,15,Chevrolet,4666.666666666667
Hyundai Grand i10 AT Asta,2015,30000,Petrol,Individual,Automatic,First Owner,10,Hyundai,3000.0
Mahindra Bolero B6,2016,56000,Diesel,Dealer,Manual,First Owner,9,Mahindra,6222.222222222223
Hyundai Santro LP zipPlus,2003,57000,Petrol,Individual,Manual,First Owner,22,Hyundai,2590.909090909091
Renault Scala Diesel RxL,2014,35000,Diesel,Individual,Manual,First Owner,11,Renault,3181.818181818182
Maruti Swift Dzire ZDI,2015,90000,Diesel,Individual,Manual,Second Owner,10,Maruti,9000.0
Maruti S-Cross Alpha DDiS 200 SH,2017,30000,Diesel,Individual,Manual,First Owner,8,Maruti,3750.0
Ford Fiesta 1.5 TDCi Titanium,2011,133564,Diesel,Dealer,Manual,First Owner,14,Ford,9540.285714285714
Mahindra XUV500 AT W8 FWD,2017,70000,Diesel,Individual,Automatic,First Owner,8,Mahindra,8750.0
Maruti Swift VDI,2013,170000,Diesel,Individual,Manual,First Owner,12,Maruti,14166.666666666666
Toyota Innova Crysta 2.4 VX MT,2016,141440,Diesel,Dealer,Manual,First Owner,9,Toyota,15715.555555555557
Toyota Fortuner 4x4 MT,2014,110000,Diesel,Individual,Manual,First Owner,11,Toyota,10000.0
Jaguar XJ 5.0 L V8 Supercharged,2010,40000,Petrol,Individual,Automatic,Second Owner,15,Jaguar,2666.6666666666665
Tata Manza Aura Quadrajet BS IV,2012,35000,Diesel,Individual,Manual,Second Owner,13,Tata,2692.3076923076924
Maruti Wagon R LXI BS IV,2010,50000,Petrol,Individual,Manual,First Owner,15,Maruti,3333.3333333333335
Volkswagen Ameo 1.5 TDI Highline Plus 16,2018,25000,Diesel,Individual,Manual,First Owner,7,Volkswagen,3571.4285714285716
Honda Amaze SX i-VTEC,2015,70000,Petrol,Individual,Manual,First Owner,10,Honda,7000.0
Ford Figo 1.2P Ambiente MT,2015,45000,Petrol,Individual,Manual,First Owner,10,Ford,4500.0
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,125531,Diesel,Dealer,Manual,Second Owner,12,Ford,10460.916666666666
Maruti 800 EX,2001,30000,Petrol,Individual,Manual,First Owner,24,Maruti,1250.0
Tata Indica Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,15,Tata,5333.333333333333
Maruti Swift ZDi BSIV,2015,60000,Diesel,Individual,Manual,First Owner,10,Maruti,6000.0
Renault KWID Climber 1.0 AMT,2017,20000,Petrol,Individual,Automatic,First Owner,8,Renault,2500.0
Ford Figo Trend,2016,34982,Petrol,Dealer,Manual,First Owner,9,Ford,3886.8888888888887
Toyota Innova 2.5 EV Diesel PS 7 Seater BSIII,2012,250000,Diesel,Individual,Manual,First Owner,13,Toyota,19230.76923076923
Maruti Eeco CNG 5 Seater AC BSIV,2020,7000,CNG,Individual,Manual,First Owner,5,Maruti,1400.0
Honda Amaze E i-VTEC,2016,50000,Petrol,Individual,Manual,Second Owner,9,Honda,5555.555555555556
Tata Indica Vista Aura 1.2 Safire,2010,120000,Petrol,Individual,Manual,Second Owner,15,Tata,8000.0
Tata Indica Vista Quadrajet VX,2012,185000,Diesel,Individual,Manual,Second Owner,13,Tata,14230.76923076923
Honda City i DTEC E,2014,60000,Diesel,Individual,Manual,Second Owner,11,Honda,5454.545454545455
Mahindra XUV500 W11 Option AWD,2020,25000,Diesel,Dealer,Manual,First Owner,5,Mahindra,5000.0
Ford Ecosport 1.5 DV5 MT Titanium,2014,101504,Diesel,Dealer,Manual,First Owner,11,Ford,9227.636363636364
Maruti Alto LXi BSIII,2008,70000,Petrol,Individual,Manual,First Owner,17,Maruti,4117.64705882353
Mahindra Xylo E4 ABS BS IV,2013,42000,Diesel,Individual,Manual,First Owner,12,Mahindra,3500.0
Maruti Zen LXI,2006,70000,Petrol,Individual,Manual,First Owner,19,Maruti,3684.2105263157896
Hyundai Accent GLS,2007,76000,Petrol,Dealer,Manual,Third Owner,18,Hyundai,4222.222222222223
Chevrolet Cruze LT,2011,74000,Diesel,Individual,Manual,Second Owner,14,Chevrolet,5285.714285714285
Maruti Ertiga SHVS LDI Option,2017,120000,Diesel,Individual,Manual,First Owner,8,Maruti,15000.0
Honda City i DTEC VX,2015,40000,Diesel,Individual,Manual,First Owner,10,Honda,4000.0
Volkswagen Polo 1.2 MPI Highline,2014,40000,Petrol,Individual,Manual,First Owner,11,Volkswagen,3636.363636363637
Tata Indigo GLX,2008,50000,Petrol,Individual,Manual,Third Owner,17,Tata,2941.176470588235
Maruti Ignis 1.2 AMT Delta BSIV,2017,15000,Petrol,Individual,Automatic,First Owner,8,Maruti,1875.0
Tata Indica Vista Aqua 1.4 TDI,2010,81000,Diesel,Individual,Manual,Second Owner,15,Tata,5400.0
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,70000,Diesel,Individual,Manual,Second Owner,13,Tata,5384.615384615385
Hyundai i20 Asta Option 1.4 CRDi,2015,80000,Diesel,Individual,Manual,First Owner,10,Hyundai,8000.0
Chevrolet Spark 1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,13,Chevrolet,2153.846153846154
Mahindra Renault Logan 1.6 Petrol GLSX,2009,30000,Petrol,Individual,Manual,Second Owner,16,Mahindra,1875.0
Hyundai Verna VTVT 1.6 AT SX Option,2018,41395,Petrol,Individual,Automatic,First Owner,7,Hyundai,5913.571428571428
Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2017,18054,Petrol,Dealer,Manual,First Owner,8,Ford,2256.75
Mercedes-Benz New C-Class C 220 CDI Grand Edition,2014,46000,Diesel,Individual,Automatic,First Owner,11,Mercedes-Benz,4181.818181818182
Honda Brio VX,2014,58000,Petrol,Dealer,Manual,First Owner,11,Honda,5272.727272727273
Ford Freestyle Titanium Plus Diesel,2019,1001,Diesel,Dealer,Manual,First Owner,6,Ford,166.83333333333334
Maruti Swift Dzire VDI,2014,101000,Diesel,Dealer,Manual,First Owner,11,Maruti,9181.818181818182
Chevrolet Beat LS,2011,60000,Petrol,Individual,Manual,First Owner,14,Chevrolet,4285.714285714285
Hyundai EON Era Plus,2015,80000,Petrol,Individual,Manual,First Owner,10,Hyundai,8000.0
Chevrolet Beat LT,2016,40000,Petrol,Individual,Manual,First Owner,9,Chevrolet,4444.444444444444
Nissan Terrano XL 85 PS,2014,82000,Diesel,Individual,Manual,First Owner,11,Nissan,7454.545454545455
Toyota Corolla Altis G,2011,40000,Petrol,Individual,Manual,Second Owner,14,Toyota,2857.1428571428573
BMW 3 Series 320d Sport,2013,167223,Diesel,Dealer,Automatic,First Owner,12,BMW,13935.25
Maruti Ignis 1.2 Sigma BSIV,2019,40000,Petrol,Individual,Manual,First Owner,6,Maruti,6666.666666666667
Mercedes-Benz E-Class 280 CDI,2007,76731,Diesel,Dealer,Automatic,First Owner,18,Mercedes-Benz,4262.833333333333
Hyundai i10 Magna,2008,103921,Petrol,Individual,Manual,Second Owner,17,Hyundai,6113.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2014,80000,Diesel,Individual,Manual,Second Owner,11,Hyundai,7272.727272727273
Toyota Etios VD,2011,135000,Diesel,Individual,Manual,Second Owner,14,Toyota,9642.857142857143
Daewoo Matiz SD,2002,50000,Petrol,Individual,Manual,First Owner,23,Daewoo,2173.913043478261
Maruti Zen VXi - BS III,2004,110000,Petrol,Individual,Manual,Second Owner,21,Maruti,5238.0952380952385
Honda Amaze S AT i-Vtech,2015,7900,Petrol,Individual,Automatic,First Owner,10,Honda,790.0
Toyota Innova 2.5 V Diesel 7-seater,2009,182000,Diesel,Individual,Manual,Third Owner,16,Toyota,11375.0
Hyundai Verna Transform VTVT,2010,70000,Petrol,Individual,Manual,First Owner,15,Hyundai,4666.666666666667
Honda Jazz 1.5 VX i DTEC,2016,35000,Diesel,Dealer,Manual,First Owner,9,Honda,3888.8888888888887
Chevrolet Spark 1.0 LS,2011,60000,Petrol,Individual,Manual,Third Owner,14,Chevrolet,4285.714285714285
Maruti Swift Dzire VDI,2014,90000,Diesel,Individual,Manual,First Owner,11,Maruti,8181.818181818182
Maruti Alto LXi BSIII,2008,30000,Petrol,Individual,Manual,Second Owner,17,Maruti,1764.7058823529412
Ford Figo Aspire 1.5 Ti-VCT Titanium,2017,44077,Petrol,Dealer,Automatic,First Owner,8,Ford,5509.625
Honda Jazz Select Edition,2017,14000,Petrol,Dealer,Manual,First Owner,8,Honda,1750.0
Mahindra Renault Logan 1.4 GLX Petrol,2008,90000,Petrol,Individual,Manual,First Owner,17,Mahindra,5294.117647058823
Tata Tiago 2019-2020 XE Diesel,2016,38000,Diesel,Dealer,Manual,First Owner,9,Tata,4222.222222222223
Honda Brio 1.2 E MT,2017,20000,Petrol,Individual,Manual,First Owner,8,Honda,2500.0
Chevrolet Cruze LTZ,2010,124000,Diesel,Individual,Manual,Second Owner,15,Chevrolet,8266.666666666666
Maruti Wagon R LXI Minor,2007,120000,Petrol,Individual,Manual,Second Owner,18,Maruti,6666.666666666667
Honda Amaze VX i-VTEC,2018,68458,Petrol,Dealer,Manual,First Owner,7,Honda,9779.714285714286
Hyundai i10 Era,2009,50000,Petrol,Individual,Manual,First Owner,16,Hyundai,3125.0
BMW X1 sDrive20d M Sport,2014,48000,Diesel,Dealer,Automatic,First Owner,11,BMW,4363.636363636364
Volkswagen Vento Diesel Trendline,2011,70000,Diesel,Individual,Manual,First Owner,14,Volkswagen,5000.0
Skoda Yeti Ambition 4WD,2011,80000,Diesel,Individual,Manual,First Owner,14,Skoda,5714.285714285715
Datsun GO Plus T BSIV,2015,25000,Petrol,Individual,Manual,First Owner,10,Datsun,2500.0
Mahindra NuvoSport N8,2016,110000,Diesel,Individual,Manual,First Owner,9,Mahindra,12222.222222222224
Maruti Swift Dzire AMT ZXI,2019,60000,Petrol,Individual,Automatic,First Owner,6,Maruti,10000.0
Maruti Alto 800 LXI,2020,5000,Petrol,Individual,Manual,First Owner,5,Maruti,1000.0
Maruti Wagon R LXI CNG,2011,60000,CNG,Individual,Manual,Second Owner,14,Maruti,4285.714285714285
Mahindra Scorpio SLE BSIV,2011,99000,Diesel,Individual,Manual,Second Owner,14,Mahindra,7071.428571428572
Maruti Ciaz 1.3 Delta,2018,60000,Diesel,Individual,Manual,First Owner,7,Maruti,8571.42857142857
Maruti Alto LXi BSIII,2009,90000,Petrol,Individual,Manual,Second Owner,16,Maruti,5625.0
Mitsubishi Pajero Sport 4X4,2012,167870,Diesel,Dealer,Manual,Second Owner,13,Mitsubishi,12913.076923076924
Renault Duster 85PS Diesel RxL,2016,160000,Diesel,Individual,Manual,First Owner,9,Renault,17777.777777777777
Hyundai Grand i10 Asta Option,2017,5000,Petrol,Individual,Manual,First Owner,8,Hyundai,625.0
Chevrolet Optra 1.6,2006,79000,Petrol,Dealer,Manual,Fourth & Above Owner,19,Chevrolet,4157.894736842105
Hyundai Verna 1.6 Xi ABS,2008,54309,Petrol,Individual,Manual,First Owner,17,Hyundai,3194.6470588235293
Ford Figo Petrol Titanium,2015,50000,Petrol,Individual,Manual,Second Owner,10,Ford,5000.0
Honda Amaze EX i-Dtech,2013,65000,Diesel,Dealer,Manual,First Owner,12,Honda,5416.666666666667
Tata Indigo LX,2012,90000,Diesel,Individual,Manual,Second Owner,13,Tata,6923.076923076923
Tata Indica Vista Terra TDI BSIII,2009,89255,Diesel,Individual,Manual,First Owner,16,Tata,5578.4375
Maruti Alto LXi,2008,90000,Petrol,Individual,Manual,Second Owner,17,Maruti,5294.117647058823
Hyundai Getz 1.5 CRDi GVS,2008,60208,Diesel,Dealer,Manual,First Owner,17,Hyundai,3541.6470588235293
Maruti Wagon R LXI Minor,2007,80000,Petrol,Individual,Manual,Second Owner,18,Maruti,4444.444444444444
Maruti SX4 Celebration Petrol,2012,90000,Petrol,Individual,Manual,Second Owner,13,Maruti,6923.076923076923
Volkswagen Vento 1.5 TDI Comfortline,2012,45454,Diesel,Dealer,Manual,First Owner,13,Volkswagen,3496.4615384615386
Maruti Alto Green LXi (CNG),2010,80251,CNG,Dealer,Manual,Second Owner,15,Maruti,5350.066666666667
Maruti Wagon R LXI,2006,62009,Petrol,Individual,Manual,Second Owner,19,Maruti,3263.6315789473683
Maruti Ritz LXi,2016,160000,Petrol,Individual,Manual,First Owner,9,Maruti,17777.777777777777
Hyundai Grand i10 Sportz,2015,12000,Petrol,Individual,Manual,First Owner,10,Hyundai,1200.0
Chevrolet Cruze LTZ,2011,65500,Diesel,Individual,Manual,First Owner,14,Chevrolet,4678.571428571428
Audi Q3 2.0 TDI Quattro Premium Plus,2015,127643,Diesel,Dealer,Automatic,First Owner,10,Audi,12764.3
Mahindra XUV500 W8 4WD,2015,53000,Diesel,Dealer,Manual,First Owner,10,Mahindra,5300.0
Hyundai i20 Magna,2010,55000,Petrol,Individual,Manual,First Owner,15,Hyundai,3666.6666666666665
Maruti SX4 ZDI,2012,70000,Diesel,Individual,Manual,Second Owner,13,Maruti,5384.615384615385
Mahindra Scorpio S11 BSIV,2018,35000,Diesel,Individual,Manual,First Owner,7,Mahindra,5000.0
Mahindra Xylo E4 BS III,2012,60000,Diesel,Individual,Manual,First Owner,13,Mahindra,4615.384615384615
Maruti 800 AC BSII,2001,72539,Petrol,Individual,Manual,Second Owner,24,Maruti,3022.4583333333335
Ford Fiesta Petrol Trend,2012,60000,Petrol,Dealer,Manual,First Owner,13,Ford,4615.384615384615
Mahindra Scorpio LX,2010,110000,Diesel,Individual,Manual,Third Owner,15,Mahindra,7333.333333333333
Skoda Laura Elegance 1.9 TDI  AT,2010,130000,Diesel,Individual,Automatic,Second Owner,15,Skoda,8666.666666666666
Renault Duster 85PS Diesel RxE,2013,170000,Diesel,Dealer,Manual,First Owner,12,Renault,14166.666666666666
Mahindra XUV500 W6 2WD,2016,47000,Diesel,Individual,Manual,First Owner,9,Mahindra,5222.222222222223
Renault Pulse RxL,2015,61585,Diesel,Trustmark Dealer,Manual,First Owner,10,Renault,6158.5
Maruti Swift VDI BSIV,2014,57000,Diesel,Individual,Manual,Second Owner,11,Maruti,5181.818181818182
Maruti Alto K10 VXI,2015,60000,Petrol,Individual,Manual,First Owner,10,Maruti,6000.0
Maruti Ertiga VXI CNG,2013,56228,CNG,Dealer,Manual,First Owner,12,Maruti,4685.666666666667
Hyundai Verna 1.6 SX VTVT,2017,23000,Petrol,Individual,Manual,First Owner,8,Hyundai,2875.0
Maruti Esteem Vxi - BSIII,2006,70000,Petrol,Individual,Manual,Third Owner,19,Maruti,3684.2105263157896
Tata Tiago 1.2 Revotron XE,2019,3000,Petrol,Individual,Manual,First Owner,6,Tata,500.0
Toyota Innova 2.5 V Diesel 8-seater,2010,200000,Diesel,Individual,Manual,Third Owner,15,Toyota,13333.333333333334
Maruti Omni 5 Str STD,1998,60000,Petrol,Dealer,Manual,Third Owner,27,Maruti,2222.222222222222
Maruti Alto 800 VXI,2016,60000,Petrol,Individual,Manual,First Owner,9,Maruti,6666.666666666667
Renault KWID RXT,2016,70000,Petrol,Individual,Manual,Second Owner,9,Renault,7777.777777777777
Maruti Alto 800 LX,2016,25000,Petrol,Individual,Manual,Second Owner,9,Maruti,2777.777777777778
Renault Duster 85PS Diesel RxE,2014,58231,Diesel,Dealer,Manual,First Owner,11,Renault,5293.727272727273
Toyota Innova Crysta 2.4 G MT BSIV,2016,70000,Diesel,Individual,Manual,First Owner,9,Toyota,7777.777777777777
Tata New Safari DICOR 2.2 EX 4x2,2009,120000,Diesel,Individual,Manual,Third Owner,16,Tata,7500.0
Maruti Celerio VXI,2016,20000,Petrol,Individual,Manual,First Owner,9,Maruti,2222.222222222222
Ford Ecosport 1.0 Ecoboost Titanium,2014,72000,Petrol,Individual,Manual,Second Owner,11,Ford,6545.454545454545
Mahindra Scorpio 1.99 S10,2017,60000,Diesel,Individual,Manual,Second Owner,8,Mahindra,7500.0
Maruti Swift VDI BSIV,2016,70000,Diesel,Individual,Manual,First Owner,9,Maruti,7777.777777777777
Tata Nano LX,2013,27974,Petrol,Individual,Manual,First Owner,12,Tata,2331.1666666666665
Maruti Alto K10 VXI,2015,60000,Petrol,Individual,Manual,Second Owner,10,Maruti,6000.0
Maruti Celerio VXI,2015,45000,Petrol,Individual,Manual,First Owner,10,Maruti,4500.0
Honda Brio E MT,2013,70000,Petrol,Individual,Manual,Second Owner,12,Honda,5833.333333333333
Hyundai Santro Xing GLS,2009,100000,Petrol,Individual,Manual,Second Owner,16,Hyundai,6250.0
Hyundai i20 Active 1.2 S,2018,30000,Petrol,Individual,Manual,First Owner,7,Hyundai,4285.714285714285
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2017,80000,Diesel,Individual,Manual,First Owner,8,Volkswagen,10000.0
Toyota Fortuner 4x2 Manual,2014,50000,Diesel,Individual,Manual,First Owner,11,Toyota,4545.454545454545
Mahindra XUV500 W8 2WD,2012,53600,Diesel,Dealer,Manual,First Owner,13,Mahindra,4123.076923076923
Nissan Micra Diesel XV Primo,2012,129000,Diesel,Individual,Manual,First Owner,13,Nissan,9923.076923076924
Maruti 800 Std BSIII,2003,50000,Petrol,Individual,Manual,First Owner,22,Maruti,2272.7272727272725
Toyota Fortuner 2.8 4WD AT BSIV,2019,5000,Diesel,Individual,Automatic,First Owner,6,Toyota,833.3333333333334
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,33800,Diesel,Dealer,Automatic,Second Owner,13,Mercedes-Benz,2600.0
Honda City 1.3 DX,2003,165000,Petrol,Individual,Manual,Second Owner,22,Honda,7500.0
Chevrolet Beat LT,2011,90000,Petrol,Individual,Manual,Second Owner,14,Chevrolet,6428.571428571428
Hyundai EON Magna Plus,2014,42000,Petrol,Individual,Manual,First Owner,11,Hyundai,3818.181818181818
Honda Amaze E i-DTEC,2017,80000,Diesel,Individual,Manual,First Owner,8,Honda,10000.0
Honda City VTEC,2003,90000,Petrol,Individual,Manual,Fourth & Above Owner,22,Honda,4090.909090909091
Maruti Wagon R Duo Lxi,2010,50000,LPG,Dealer,Manual,First Owner,15,Maruti,3333.3333333333335
Renault KWID RXL,2016,38000,Petrol,Individual,Manual,First Owner,9,Renault,4222.222222222223
Tata Nano Twist XE,2014,44416,Petrol,Dealer,Manual,First Owner,11,Tata,4037.818181818182
Maruti Omni MPI STD BSIV,2018,20000,Petrol,Individual,Manual,First Owner,7,Maruti,2857.1428571428573
Ford Ecosport 1.5 DV5 MT Titanium,2015,135000,Diesel,Individual,Manual,Second Owner,10,Ford,13500.0
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,14,Tata,1428.571428571429
Maruti Swift LXI,2011,70000,Petrol,Individual,Manual,First Owner,14,Maruti,5000.0
Maruti Swift VXI Deca,2016,38000,Petrol,Individual,Manual,First Owner,9,Maruti,4222.222222222223
Maruti Wagon R LX Minor,2013,52000,Petrol,Individual,Manual,First Owner,12,Maruti,4333.333333333333
Hyundai i20 Active 1.2 SX,2016,26000,Petrol,Individual,Manual,First Owner,9,Hyundai,2888.8888888888887
Maruti Baleno Alpha 1.3,2019,30000,Diesel,Individual,Manual,First Owner,6,Maruti,5000.0
Jaguar XF 3.0 Litre S Premium Luxury,2012,50000,Diesel,Individual,Automatic,Second Owner,13,Jaguar,3846.153846153846
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,13,Hyundai,3832.6153846153848
Maruti Alto LXi,2007,40000,Petrol,Individual,Manual,Second Owner,18,Maruti,2222.222222222222
Ford Figo 1.5D Trend MT,2016,40000,Diesel,Individual,Manual,First Owner,9,Ford,4444.444444444444
Tata Indigo GLS,2008,120000,Petrol,Individual,Manual,First Owner,17,Tata,7058.823529411765
BMW X1 sDrive 20d Exclusive,2011,60000,Diesel,Individual,Automatic,First Owner,14,BMW,4285.714285714285
Mahindra Bolero SLX,2016,51000,Diesel,Dealer,Manual,First Owner,9,Mahindra,5666.666666666667
Toyota Innova Crysta 2.4 ZX MT,2017,91195,Diesel,Dealer,Manual,First Owner,8,Toyota,11399.375
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,120000,Diesel,Individual,Manual,Third Owner,18,Chevrolet,6666.666666666667
BMW 5 Series 530i,2006,110000,Petrol,Individual,Automatic,Second Owner,19,BMW,5789.473684210527
Mahindra Verito 1.5 D2 BSIII,2014,30000,Diesel,Individual,Manual,First Owner,11,Mahindra,2727.2727272727275
Maruti Wagon R VXI Optional,2015,120000,Petrol,Individual,Manual,First Owner,10,Maruti,12000.0
Maruti Swift Dzire VXi,2009,60000,Petrol,Individual,Manual,Third Owner,16,Maruti,3750.0
Datsun RediGO 1.0 T Option,2018,2769,Petrol,Dealer,Manual,First Owner,7,Datsun,395.57142857142856
Hyundai i10 Sportz 1.2,2010,110000,Petrol,Individual,Manual,Second Owner,15,Hyundai,7333.333333333333
Mahindra Scorpio M2DI,2014,90000,Diesel,Individual,Manual,First Owner,11,Mahindra,8181.818181818182
Volkswagen Polo 1.0 TSI Highline Plus,2020,5000,Petrol,Individual,Manual,First Owner,5,Volkswagen,1000.0
Maruti Baleno Zeta 1.2,2017,20000,Petrol,Individual,Manual,First Owner,8,Maruti,2500.0
Hyundai Accent CRDi,2004,120000,Diesel,Individual,Manual,Second Owner,21,Hyundai,5714.285714285715
Maruti Ertiga ZDI,2012,110000,Diesel,Individual,Manual,Second Owner,13,Maruti,8461.538461538461
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,78000,Diesel,Dealer,Manual,Second Owner,12,Hyundai,6500.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,53000,Diesel,Dealer,Automatic,First Owner,12,Audi,4416.666666666667
Maruti 800 Std,1999,50000,Petrol,Individual,Manual,Third Owner,26,Maruti,1923.076923076923
Maruti Wagon R VXI Minor,2009,50000,Petrol,Individual,Manual,Second Owner,16,Maruti,3125.0
Tata Nexon 1.5 Revotorq XM,2019,25000,Diesel,Individual,Manual,First Owner,6,Tata,4166.666666666667
Maruti Omni MPI STD BSIV,2016,120000,Petrol,Individual,Manual,First Owner,9,Maruti,13333.333333333334
Maruti Ciaz VXi Plus,2015,24000,Petrol,Dealer,Manual,First Owner,10,Maruti,2400.0
Hyundai i10 Era 1.1 iTech SE,2011,110000,Petrol,Individual,Manual,Second Owner,14,Hyundai,7857.142857142857
Tata New Safari DICOR 2.2 EX 4x2,2010,80000,Diesel,Individual,Manual,First Owner,15,Tata,5333.333333333333
Nissan Sunny XV D Premium Leather,2015,50000,Diesel,Individual,Manual,First Owner,10,Nissan,5000.0
Maruti Swift VDI Optional,2015,90000,Diesel,Individual,Manual,First Owner,10,Maruti,9000.0
Maruti Ciaz VDi Option SHVS,2015,65000,Diesel,Dealer,Manual,First Owner,10,Maruti,6500.0
Maruti Ertiga SHVS VDI,2017,24000,Diesel,Individual,Manual,First Owner,8,Maruti,3000.0
Hyundai EON D Lite Plus,2015,40903,Petrol,Dealer,Manual,First Owner,10,Hyundai,4090.3
Chevrolet Sail Hatchback LT ABS,2013,80000,Diesel,Individual,Manual,First Owner,12,Chevrolet,6666.666666666667
Hyundai Verna 1.6 SX CRDi (O),2012,89550,Diesel,Individual,Manual,Second Owner,13,Hyundai,6888.461538461538
Maruti Alto 800 LXI,2014,25000,Petrol,Individual,Manual,First Owner,11,Maruti,2272.7272727272725
Skoda Octavia Elegance 2.0 TDI AT,2013,49000,Diesel,Dealer,Automatic,Second Owner,12,Skoda,4083.3333333333335
